Country,Market_scope,Source_name,Operator,Official_domain,Source_family,Officialness_tier,Primary_evidence_yes_no,M&A,ECM,DCM,Relevant_event_types,Index_page,Detail_page_pattern,Access_format,Languages,Stable_event_id,Stable_issuer_id,Publication_timestamp,Event_date,Pagination,Archive_depth,Authentication,Robots_status,Terms_status,Reuse_risk,Technical_noise_risk,False_positive_risk,Expected_90d_volume,Observed_relevant_90d_samples,Parser_complexity,Maintenance_burden,Canonical_source_role,Approval_eligibility,Recommended_status,Reason
"Russia","core_cis","MOEX market and issuer disclosures","Moscow Exchange","moex.com","Stock exchange","Tier 1","yes","low","medium","high","bond programme; book opening; placement; issue result; listing","https://www.moex.com/ru/news/","https://www.moex.com/n{numeric_id}","HTML; JSON/ISS for market data","ru; en","yes","security code; ISIN","yes","sometimes","yes","multi-year","no","not independently retrieved; search indexing allowed","public pages; bulk reuse terms unresolved","medium","high","medium","30-70","connected baseline; not resampled","medium","medium","canonical for exchange lifecycle; issuer corroboration preferred","yes when transaction terms complete","P2_RESEARCH_MORE","Already connected; this research does not recommend a new implementation, and any later widening requires a separate noise-focused study."
"Russia","core_cis","Corporate Information Disclosure Center","Interfax-CRKI","e-disclosure.ru","Official corporate disclosure portal","Tier 1","yes","high","high","high","material facts; tender offers; issue documents; issue results","https://e-disclosure.ru/portal/","https://e-disclosure.ru/portal/event.aspx?EventId={id}; /portal/files.aspx?id={issuer_id}&type={type}","HTML; ZIP; PDF","ru","yes","issuer portal id; issuer code","yes","yes","yes","deep; 2012 examples observed","no","not independently retrieved","operator copyright/reuse permission not confirmed","high","very high","high","100+","not scored for P0/P1","high","high","canonical link and metadata; full-text ingestion only after permission","yes from issuer filing","LINK_ONLY","Excellent evidence but high noise and unresolved copying terms make link/metadata handling safer."
"Russia","core_cis","Register of issue-grade securities","Bank of Russia","cbr.ru","Prospectus / securities registration database","Tier 1","yes","low","high","high","registered issues; programmes; prospectuses; issue reports","https://www.cbr.ru/registries/rcb/ecb/","query-generated issuer and issue extract","HTML; generated extract","ru","registration number","INN; OGRN; issuer code","extract date","registration date","search","current register; historical depth not quantified","no","not independently retrieved","informational service; legal significance disclaimer","low","high","low","20-60","not scored for P0/P1","high","medium","corroboration for registered security identity","yes for registration stage only","P2_RESEARCH_MORE","Strong identity evidence but not a transaction-news feed and search workflow needs endpoint verification."
"Russia","core_cis","Issuer and securities decisions","Bank of Russia","cbr.ru","Securities regulator","Tier 1","yes","low","high","high","registration decisions; programme and prospectus decisions","https://www.cbr.ru/issuers_corporate/","https://www.cbr.ru/rbr/dir_decisions/rsd_20{date}_{id}/","HTML; PDF; XML/ZIP in filing process","ru","decision number","issuer identifiers in decision","yes","yes","archive/search","multi-year","no for published decisions","not independently retrieved","public regulatory decisions; reuse terms not located","low","high","low","10-30","not scored for P0/P1","medium","medium","registration-stage corroboration","yes for registration only","DISCOVERY_ONLY","Useful lifecycle evidence but registration must not be treated as pricing or issuance."
"Russia","core_cis","NSD securities and corporate-action information","National Settlement Depository","nsddata.ru","Central securities depository","Tier 1","yes","low","low","medium","security cards; corporate actions; payments","https://nsddata.ru/ru/news","instrument/action URL varies","HTML; files; paid data products","ru; en","action/security identifiers","ISIN; state registration number","yes","yes","search","multi-year","mixed","not independently retrieved","public and licensed products are mixed","high","very high","medium","50+","not scored for P0/P1","high","high","identifier and settlement corroboration only","conditional","LINK_ONLY","Coupon, redemption and depository noise is extreme; licensed-data boundary must be respected."
"Russia","core_cis","Merger-control decisions and news","Federal Antimonopoly Service","fas.gov.ru","Competition authority","Tier 2","yes","high","none","none","economic concentration approval; remedies; acquisition approval","https://fas.gov.ru/news","https://fas.gov.ru/news/{numeric_id}","HTML; PDF","ru","yes","no stable issuer id","yes","decision date","yes","multi-year","no","not independently retrieved","government publication terms not located","low","low","medium","2-10","not scored for P0/P1","medium","medium","M&A regulatory-stage corroboration","yes when parties and decision are explicit","P2_RESEARCH_MORE","High-value M&A evidence but category/search precision and publication completeness need sampling."
"Russia","core_cis","Fedresurs corporate facts","Interfax operator under federal framework","fedresurs.ru","Official issuer disclosure database","Tier 1","yes","medium","low","low","reorganization; material facts; asset sales; creditor notices","https://fedresurs.ru/","https://fedresurs.ru/sfactmessage/{uuid}","JavaScript-rendered HTML","ru","UUID","INN; OGRN","yes","yes","yes","deep","no for public view","not independently retrieved","automated access and reuse terms unresolved","high","very high","high","100+","not scored for P0/P1","very high","high","discovery and canonical link only","conditional","LINK_ONLY","Transaction-relevant items exist but insolvency and routine legal notices overwhelm useful yield."
"Russia","core_cis","Privatization and state-property notices","Federal Agency for State Property Management","rosim.gov.ru","Privatization / state asset authority","Tier 2","yes","high","low","none","sale of state stakes; privatization plans; auction results","https://rosim.gov.ru/activities/privatization","notice path varies","HTML; PDF; file download","ru","sometimes","asset/company identifiers vary","yes","yes","limited","multi-year","no","not independently retrieved","government terms not located","low","medium","medium","1-5","not scored for P0/P1","medium","medium","M&A/privatization discovery and primary corroboration","yes when winner and stake are disclosed","P2_RESEARCH_MORE","Potentially valuable but index consistency and deal-level result publication require more live sampling."
"Kazakhstan","core_cis","KASE Market and Company News","Kazakhstan Stock Exchange","kase.kz","Stock exchange","Tier 1","yes","medium","medium","high","bond inclusion; book opening; guidance; pricing; placement result; issuer M&A","https://kase.kz/en/information/news/all","https://kase.kz/en/information/news/show/{numeric_id}","HTML; linked PDF/files","kk; ru; en","numeric news id","ticker; ISIN; BIN on issuer pages","yes","yes","date filters; pagination","deep; older pages and 2025 archive observed","no","robots file not independently retrievable","public pages; explicit bulk-reuse permission not located","medium","high","medium","30-60","3","low","medium","canonical exchange event and lifecycle source","yes for explicit transaction/issuance events","P0_IMPLEMENT_FIRST","Best near-term combination of live volume, stable IDs, multilingual pages and disclosed DCM terms."
"Kazakhstan","core_cis","AIX Regulatory Announcement Service","Astana International Exchange","aix.kz","Official issuer disclosure portal","Tier 1","yes","medium","high","high","offer document; inside information; issue terms; issuer announcements","https://aix.kz/listings/continuous-disclosure-obligations/company-disclosures-2/","RAS item/document pattern not exposed in static index","JavaScript-rendered HTML; PDF","en","unverified","issuer name; official-list identity","yes","sometimes","filters unverified","2021-present policy; current depth unresolved","no for readers","not independently retrieved","terms page exists; document reuse not resolved","medium","medium","medium","5-15","not scored for P0/P1","high","high","canonical issuer disclosure after endpoint verification","yes","P2_RESEARCH_MORE","RAS is authoritative but current item IDs, pagination and unattended document links were not verified."
